price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE
25000,2024 08 30T12:52:23.000Z,,BON TAT,LATITUDE,,8TH GEN INTEL CORE I5,8GB,256GB,,15,,,
25000,2025 02 19T21:06:12.000Z,AIN OULMENE,,VIVOBOOK,,8TH GEN INTEL CORE I5,4GB,64GB,,15,,,
25000,2025 01 28T02:11:48.000Z,BORDJ BOU ARRERIDJ,BON TAT,SURFACE,,8TH GEN INTEL CORE I5,8GB,256GB,,12.5,,,
25000,2025 02 09T14:01:23.000Z,ALGER CENTRE,BON TAT,INSPIRON,AMD RADEON R7 M445,7TH GEN INTEL CORE I5 7200U,8GB,,1TB,15,,,
25000,2024 11 26T19:10:41.000Z,MEDEA,BON TAT,INSPIRON,,6TH GEN INTEL CORE I5 6200U,8GB,256GB,,15.6,,,
25000,2025 05 13T18:32:26.000Z,ORAN,BON TAT,THINKPAD,,6TH GEN INTEL CORE I3 6100U,8GB,,500GB,15.6,,1366x768,
25000,2025 06 24T21:46:03.000Z,ALGER CENTRE,BON TAT,PAVILION,,6TH GEN INTEL CORE I3 6006U,4GB,,1TB,15.6,,,
25000,2025 08 09T15:44:10.000Z,KOLEA,,ASPIRE,,6TH GEN INTEL CORE I3,8GB,,500GB,,,,
25000,2024 10 16T12:31:49.000Z,BORDJ EL BAHRI,BON TAT,ELITEBOOK,,5TH GEN INTEL CORE I5,6GB,,250GB,15,,,
25000,2024 09 01T09:03:01.000Z,KHENCHELA,BON TAT,INSPIRON,,4TH GEN INTEL CORE I3 4005U,8GB,,500GB,,,,
25000,2025 08 07T14:30:18.000Z,BIR MOURAD RAIS,,VIVOBOOK,,4TH GEN INTEL CORE I3 4005U,4GB,500GB,,15,,,
25000,2024 10 21T13:23:04.000Z,BLIDA,BON TAT,INSPIRON,,4TH GEN INTEL CORE I3,4GB,256GB,,,,,
25000,2025 07 26T10:57:12.000Z,BACHDJERRAH,BON TAT,LATITUDE,,2ND GEN INTEL CORE I5 2520M,4GB,,298GB,15.6,,,
25000,2024 11 04T17:19:53.000Z,AZZABA,,DYNABOOK,NVIDIA GEFORCE GTX 580,2ND GEN INTEL CORE I5,4GB,256GB,,24,,,
25000,2024 09 19T13:49:22.000Z,BOGHNI,MOYEN,,,2ND GEN INTEL CORE I5,6GB,,320GB,16.6,,,
